ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,VALUE_CLEAN
1122 4 ST SW,"6,550,000",LI,6550000.0
120 17 AV SW,"6,810,000",LI,6810000.0
1201 5 ST SW,"4,150,000",LI,4150000.0
1204 3 ST SE,"1,410,000",LI,1410000.0
1207 11 AV SW,"7,500,000",LI,7500000.0
121 10 AV SE,"3,240,000",LI,3240000.0
121 15 AV SE,"1,230,000",LI,1230000.0
1210 8 ST SW,"3,490,000",LI,3490000.0
1210 8 ST SW,"3,490,000",LI,3490000.0
1212 1 ST SE,"3,930,000",LI,3930000.0
1216 10 AV SW,"7,350,000",LI,7350000.0
1221 8 ST SW,"4,200,000",LI,4200000.0
1222 11 AV SW,"1,820,000",LI,1820000.0
124 17 AV SE,"1,060,000",LI,1060000.0
130 11 AV SE,"10,390,000",LI,10390000.0
130 11 AV SE,"10,390,000",LI,10390000.0
130 11 AV SE,"10,390,000",LI,10390000.0
1300 8 ST SW,"3,890,000",LI,3890000.0
1301 8 ST SW,"4,230,000",LI,4230000.0
1301 8 ST SW,"4,230,000",LI,4230000.0
1301 8 ST SW,"4,230,000",LI,4230000.0
1301 8 ST SW,"4,230,000",LI,4230000.0
1301 8 ST SW,"4,230,000",LI,4230000.0
1304 4 ST SW,"1,110,000",LI,1110000.0
1305 11 AV SW,"3,500,000",LI,3500000.0
1313 1 ST SE,"4,900,000",LI,4900000.0
1313 10 AV SW,"16,010,000",LI,16010000.0
1324 11 AV SW,"3,850,000",LI,3850000.0
1324 17 AV SW,"6,410,000",LI,6410000.0
1324 17 AV SW,"6,410,000",LI,6410000.0
1324 17 AV SW,"6,410,000",LI,6410000.0
1324 17 AV SW,"6,410,000",LI,6410000.0
133 12 AV SE,"3,670,000",LI,3670000.0
1331 MACLEOD TR SE,"39,490,000",LI,39490000.0
1333 8 ST SW,"5,990,000",LI,5990000.0
1347 12 AV SW,"1,860,000",LI,1860000.0
140 10 AV SE,"47,700,000",LI,47700000.0
1400 1 ST SW,"1,170,000",LI,1170000.0
1401 1 ST SE,"4,790,000",LI,4790000.0
1410 1 ST SW,"865,000",LI,865000.0
1410 11 AV SW,"673,500",LI,673500.0
1414 8 ST SW,"5,890,000",LI,5890000.0
1415 1 ST SE,"1,020,000",LI,1020000.0
1501 1 ST SW,"2,780,000",LI,2780000.0
1505 MACLEOD TR SE,"1,220,000",LI,1220000.0
1505 MACLEOD TR SE,"1,220,000",LI,1220000.0
1509 CENTRE ST SW,"2,170,000",LI,2170000.0
1520 4 ST SW,"22,550,000",LI,22550000.0
1550 5 ST SW,"8,120,000",LI,8120000.0
200 225 11 AV SE,"1,820,000",LI,1820000.0
203 15 AV SE,"2,430,000",LI,2430000.0
214 11 AV SW,"40,270,000",LI,40270000.0
215 10 AV SW,"5,560,000",LI,5560000.0
218 17 AV SE,"652,500",LI,652500.0
224 11 AV SW,"1,310,000",LI,1310000.0
227 11 AV SW,"74,990,000",LI,74990000.0
229 11 AV SE,"910,000",LI,910000.0
238 11 AV SE,"1,880,000",LI,1880000.0
239 10 AV SE,"1,410,000",LI,1410000.0
305 10 AV SE,"1,810,000",LI,1810000.0
313 10 AV SW,"7,520,000",LI,7520000.0
315 10 AV SE,"2,380,000",LI,2380000.0
318 11 AV SE,"6,550,000",LI,6550000.0
320 17 AV SW,"5,170,000",LI,5170000.0
326 11 AV SW,"37,150,000",LI,37150000.0
330 12 AV SW,"2,620,000",LI,2620000.0
333 11 AV SW,"12,400,000",LI,12400000.0
334 11 AV SE,"7,240,000",LI,7240000.0
339 10 AV SE,"1,950,000",LI,1950000.0
340 12 AV SW,"6,390,000",LI,6390000.0
344 12 AV SW,"2,620,000",LI,2620000.0
402 11 AV SE,"6,190,000",LI,6190000.0
409 10 AV SE,"11,100,000",LI,11100000.0
411 11 AV SE,"546,000",LI,546000.0
422 11 AV SE,"2,800,000",LI,2800000.0
435 10 AV SE,"1,950,000",LI,1950000.0
438 11 AV SE,"6,520,000",LI,6520000.0
456 12 AV SE,"2,120,000",LI,2120000.0
514 11 AV SW,"2,030,000",LI,2030000.0
517 10 AV SW,"85,500,000",LI,85500000.0
522 11 AV SW,"2,020,000",LI,2020000.0
525 11 AV SW,"5,230,000",LI,5230000.0
534 17 AV SW,"3,860,000",LI,3860000.0
540 12 AV SW,"12,650,000",LI,12650000.0
550 11 AV SW,"5,190,000",LI,5190000.0
601 10 AV SW,"5,440,000",LI,5440000.0
602 11 AV SW,"6,820,000",LI,6820000.0
602 13 AV SE,"1,050,000",LI,1050000.0
602 13 AV SE,"1,050,000",LI,1050000.0
605 11 AV SW,"5,620,000",LI,5620000.0
615 11 AV SE,"2,990,000",LO,2990000.0
615 11 AV SE,"2,990,000",LO,2990000.0
615 11 AV SE,"2,990,000",LO,2990000.0
615 15 AV SW,"813,000",LI,813000.0
617 11 AV SW,"1,950,000",LI,1950000.0
620 12 AV SW,"920,000",LI,920000.0
625 11 AV SW,"2,550,000",LI,2550000.0
628 11 AV SW,"1,990,000",LI,1990000.0
628 12 AV SW,"4,070,000",LI,4070000.0
640 12 AV SW,"2,850,000",LI,2850000.0
701 11 AV SW,"3,380,000",LI,3380000.0
707 10 AV SW,"4,470,000",LI,4470000.0
708 11 AV SW,"6,470,000",LI,6470000.0
729 13 AV SW,"4,880,000",LI,4880000.0
729 13 AV SW,"4,880,000",LI,4880000.0
738 11 AV SW,"4,600,000",LI,4600000.0
752 10 AV SW,"5,270,000",LI,5270000.0
809 10 AV SW,"4,680,000",LI,4680000.0
902 11 AV SW,"9,030,000",LI,9030000.0
906 12 AV SW,"10,100,000",LI,10100000.0
909 11 AV SW,"9,470,000",LI,9470000.0
919 11 AV SW,"10,600,000",LI,10600000.0
924 17 AV SW,"1,390,000",LI,1390000.0
999 8 ST SW,"15,370,000",LI,15370000.0
100 1410 1 ST SE,"4,250,000",LI,4250000.0
1003 11 AV SW,"2,010,000",LI,2010000.0
1003 11 ST SW,"6,800,000",LI,6800000.0
1006 11 AV SW,"4,040,000",LI,4040000.0
1008 17 AV SW,"6,860,000",LI,6860000.0
1012 17 AV SW,"3,950,000",LI,3950000.0
1022 17 AV SW,"2,300,000",LI,2300000.0
1037 11 AV SW,"1,110,000",LI,1110000.0
1069 10 ST SW,"3,810,000",LI,3810000.0
1103 7 ST SW,"4,270,000",LI,4270000.0
1103 7 ST SW,"4,270,000",LI,4270000.0
1103 7 ST SW,"4,270,000",LI,4270000.0
1104 10 AV SW,"3,120,000",LI,3120000.0
1108 17 AV SW,"7,470,000",LI,7470000.0
1112 OLYMPIC WY SE,"979,500",LI,979500.0
1115 11 AV SW,"3,630,000",LI,3630000.0
1116 17 AV SW,"4,670,000",LI,4670000.0
1116 17 AV SW,"4,670,000",LI,4670000.0
1116 17 AV SW,"4,670,000",LI,4670000.0
1116 17 AV SW,"4,670,000",LI,4670000.0
112 17 AV SE,"6,290,000",LI,6290000.0
112 17 AV SE,"6,290,000",LI,6290000.0
1126 17 AV SW,"3,130,000",LI,3130000.0
1130 11 AV SW,"15,700,000",LI,15700000.0
1140 10 AV SW,"13,250,000",LI,13250000.0
1140 17 AV SW,"6,400,000",LI,6400000.0
1140 17 AV SW,"6,400,000",LI,6400000.0
117 15 AV SE,"816,000",LI,816000.0
1201 1 ST SW,"1,520,000",LI,1520000.0
1202 14 ST SW,"1,560,000",LI,1560000.0
1202 17 AV SW,"5,190,000",LI,5190000.0
1205 1 ST SW,"682,000",LI,682000.0
1205 14 AV SW,"2,470,000",LI,2470000.0
1207 1 ST SW,"2,160,000",LI,2160000.0
1207 12 AV SW,"3,330,000",LI,3330000.0
1209 1 ST SW,"2,360,000",LI,2360000.0
1212 17 AV SW,"3,210,000",LI,3210000.0
1213 1 ST SW,"2,360,000",LI,2360000.0
1215 1 ST SW,"2,790,000",LI,2790000.0
1216 8 ST SW,"4,670,000",LI,4670000.0
1222 17 AV SW,"5,540,000",LI,5540000.0
1230 17 AV SW,"4,020,000",LI,4020000.0
1231 10 AV SW,"4,320,000",LI,4320000.0
1232 17 AV SW,"1,730,000",LI,1730000.0
1234 11 AV SW,"5,050,000",LI,5050000.0
1234 11 AV SW,"5,050,000",LI,5050000.0
1234 11 AV SW,"5,050,000",LI,5050000.0
1234 11 AV SW,"5,050,000",LI,5050000.0
1234 11 AV SW,"5,050,000",LI,5050000.0
1240 17 AV SW,"3,390,000",LI,3390000.0
1301 10 AV SW,"2,650,000",LI,2650000.0
1302 4 ST SW,"2,000,000",LI,2000000.0
